game_result,game_id,mr_x_algo,cop_algo,mr_x_avg_distance_to_cop,avg_distance_between_cops,mr_x_avg_reward,cops_avg_reward,train_iteration
1,1,2,1,4.884866998394031,5.269797239911623,-8.771751781512501,8.753068317896691,410
2,10,2,1,4.501940503357475,3.5484169088270114,-5.266124028720832,3.467405899255537,410
1,11,2,1,3.757055630098445,2.8202176584796974,-10.188424617882609,7.573214012504552,410
2,12,2,1,5.2721376105857525,3.1458767432914017,-4.956314957095834,2.3186377060602825,410
1,13,2,1,2.98142396999972,4.47213595499958,-54.6484601976,44.798321914164966,410
2,14,2,1,5.719435331434068,2.9467736200702768,-3.3800755707083336,1.866439086576457,410
2,15,2,1,6.2111516100736495,2.5785006737829472,-3.3335296958125,1.2097651760817207,410
1,16,2,1,2.044483224674937,2.888378225124082,-10.22572449891,11.269164695543251,410
1,17,2,1,4.721397502245221,5.594020190946784,-10.1786091248125,8.330530574518933,410
2,18,2,1,4.461550466908702,4.064183993254146,-5.599153532845833,3.8650845562593936,410
1,19,2,1,6.26973158909116,6.7399166164406425,-7.0625967239800005,6.857999512200391,410
1,2,2,1,2.913423367689317,2.8334153974545115,-10.631984523542858,11.89618074218421,410
1,20,2,1,3.767677536759874,2.27053996806817,-8.233040632294118,9.193496574478765,410
1,21,2,1,6.0905215772174,4.771122330222479,-8.549697211987501,7.627461799786536,410
1,22,2,1,4.684926070879834,4.379448699624476,-7.567711569372728,7.860900195843083,410
2,23,2,1,3.0005385177536623,2.664974101674149,-6.172826003979168,5.818655802151322,410
2,24,2,1,3.7224848621174895,2.831542406853436,-6.7561917714833335,4.8148898590598295,410
1,25,2,1,4.309758611898243,4.851720282566024,-7.736006490523077,6.855995263204114,410
1,26,2,1,3.356746451652448,4.7535130832633925,-9.500074426622222,8.818666606747692,410
1,27,2,1,2.940835852061673,3.753546986305604,-10.5952691030125,10.915338683365793,410
1,28,2,1,3.14776401906815,6.8904224078487415,-11.998769271866667,12.401447881260898,410
2,29,2,1,1.868910308278014,2.844488861839632,-7.292090354474999,7.978990125249633,410
2,3,2,1,3.087468168186002,2.0304469550960795,-5.9376461564,6.29217406738119,410
1,30,2,1,3.3466168374759078,2.966355971403157,-9.92110619415,8.642955822444867,410
1,31,2,1,2.733315704456618,2.619503691300451,-12.69496377752,14.15651010349692,410
2,32,2,1,3.022847527034997,2.7567953752005394,-6.493921392566667,6.030371120657268,410
1,33,2,1,3.9902203982855697,4.316369441508048,-8.930975921153333,8.288416697005797,410
2,34,2,1,2.125924939826721,3.4164513032239743,-6.984203202012499,7.6162425953054465,410
1,35,2,1,3.460786997688593,5.992251201646497,-11.499739401133333,12.421705285145086,410
1,36,2,1,6.609062513322384,5.8001057625861545,-5.3593718212,5.441415855184398,410
2,37,2,1,3.3192416649455514,2.521837369326834,-7.064112244233333,5.481646875410777,410
1,38,2,1,2.832594927106839,3.859283610390685,-10.1500071575,9.963429503535789,410
2,39,2,1,4.190137238195945,3.871503808448317,-5.838139183083334,4.721603660104084,410
2,4,2,1,2.8731957320031705,3.181355486468694,-7.075543000458333,6.000015773283468,410
1,40,2,1,2.4087231324402234,3.710158617508039,-10.4907947047,12.410252917798752,410
2,41,2,1,2.1779707048715715,3.4299288988505645,-6.823713015166667,7.06820082119786,410
1,42,2,1,3.0849882943489577,4.108851493386155,-10.055001561175,10.521875136316572,410
2,43,2,1,5.765781162416443,2.848654722810643,-3.2137746545125,0.8344105868859885,410
1,44,2,1,3.3850877516890514,3.711091725741817,-12.078996574283332,12.285959125482066,410
1,45,2,1,5.244424256066879,3.090349853997128,-6.8988511383,6.6409949893168365,410
2,46,2,1,2.5636599926607526,2.578829635654071,-6.388419082116667,6.605903334747346,410
2,47,2,1,3.633974339670452,3.2379314131041124,-5.594210087329167,5.111555282519802,410
2,48,2,1,1.9227562413092985,2.799832656784481,-7.106073539975,7.377020163644048,410
2,49,2,1,5.744136166806309,3.472310555456596,-4.414437027879167,1.9243624727279651,410
1,5,2,1,4.448585413787278,4.453924905741623,-9.084759858725,10.170650458092272,410
1,50,2,1,6.290760738535711,3.104521965435917,-5.961759427215385,5.79123759033912,410
1,6,2,1,3.429068409242905,3.036554523520101,-8.889628596353335,8.875258015942249,410
2,7,2,1,1.8586793350222437,2.2901633548964844,-7.1609551650166665,7.816771973387276,410
1,8,2,1,3.750304676914092,3.30005941053496,-8.691671403237502,9.486958356071774,410
1,9,2,1,6.274467372697333,4.822660053253722,-11.499739401133333,9.988767154537898,410
